State,County,Community Name (Number), Policies in Force , Total Coverage , Total Written Premium + FPF , Total Annual Payment 
MINNESOTA,STEARNS COUNTY,"COLD SPRING, CITY OF (270444)", 6 ," $1,283,000 "," $9,580 "," $11,404 "
MINNESOTA,STEARNS COUNTY,"MELROSE, CITY OF (270450)", 1 ," $1,000,000 "," $9,756 "," $11,754 "
MINNESOTA,STEARNS COUNTY,"RICHMOND, CITY OF (270453)", 2 ," $85,000 "," $1,652 "," $1,983 "
MINNESOTA,STEARNS COUNTY,"SARTELL, CITY OF (270460)", 16 ," $5,420,000 "," $36,922 "," $44,285 "
MINNESOTA,STEARNS COUNTY,"SAUK CENTRE, CITY OF (270459)", 14 ," $3,129,000 "," $17,405 "," $21,221 "
MINNESOTA,STEARNS COUNTY,"ST. CLOUD, CITY OF (270456)", 26 ," $7,576,000 "," $41,636 "," $51,811 "
MINNESOTA,STEARNS COUNTY,STEARNS COUNTY* (270546), 101 ," $23,769,000 "," $114,442 "," $142,560 "
MINNESOTA,STEARNS COUNTY,"WAITE PARK, CITY OF (270461)", 15 ," $4,696,000 "," $22,777 "," $29,152 "
MINNESOTA,STEELE COUNTY,"MEDFORD, CITY OF (270462)", 2 ," $527,000 "," $3,659 "," $4,575 "
MINNESOTA,STEELE COUNTY,"OWATONNA, CITY OF (270463)", 77 ," $21,881,000 "," $138,143 "," $169,904 "
MINNESOTA,STEELE COUNTY,STEELE COUNTY * (270635), 19 ," $4,414,000 "," $17,940 "," $21,932 "
MINNESOTA,STEVENS COUNTY,"MORRIS, CITY OF (270465)", 1 ," $350,000 ", $732 , $880 
MINNESOTA,STEVENS COUNTY,STEVENS COUNTY* (270640), 5 ," $836,000 "," $4,940 "," $5,911 "
MINNESOTA,ST. LOUIS COUNTY,"BIWABIK, CITY OF (270418)", 1 ," $76,000 ", $521 , $631 
MINNESOTA,ST. LOUIS COUNTY,"COOK, CITY OF (270420)", 8 ," $775,000 "," $9,457 "," $11,516 "
MINNESOTA,ST. LOUIS COUNTY,"DULUTH, CITY OF (270421)", 140 ," $36,277,000 "," $128,890 "," $162,581 "
MINNESOTA,ST. LOUIS COUNTY,"ELY, CITY OF (270567)", 1 ," $304,000 ", $792 , $951 
MINNESOTA,ST. LOUIS COUNTY,"FAYAL, TOWNSHIP OF (270739)", 1 ," $280,000 ", $784 , $942 
MINNESOTA,ST. LOUIS COUNTY,"FLOODWOOD, CITY OF (270423)", 5 ," $360,000 "," $7,347 "," $8,753 "
MINNESOTA,ST. LOUIS COUNTY,"GNESEN, TOWNSHIP OF (270737)", 4 ," $920,000 "," $4,792 "," $5,720 "
MINNESOTA,ST. LOUIS COUNTY,"GREENWOOD, TOWNSHIP OF (270736)", 8 ," $1,205,000 "," $6,748 "," $8,996 "
MINNESOTA,ST. LOUIS COUNTY,"HERMANTOWN, CITY OF (270708)", 10 ," $4,088,000 "," $11,128 "," $14,197 "
MINNESOTA,ST. LOUIS COUNTY,"HIBBING, CITY OF (270577)", 6 ," $1,727,000 "," $9,240 "," $12,128 "
MINNESOTA,ST. LOUIS COUNTY,"LAKEWOOD, TOWNSHIP OF (270738)", 1 ," $350,000 ", $411 , $502 
MINNESOTA,ST. LOUIS COUNTY,"MIDWAY, TOWNSHIP OF (270741)", 1 ," $70,000 ", $436 , $531 
MINNESOTA,ST. LOUIS COUNTY,"MOUNTAIN IRON, CITY OF (270424)", 1 ," $207,000 ", $811 ," $1,199 "
MINNESOTA,ST. LOUIS COUNTY,"PROCTOR, CITY OF (270425)", 3 ," $1,103,000 "," $6,782 "," $8,728 "
MINNESOTA,ST. LOUIS COUNTY,"RICE LAKE, CITY OF (270742)", 2 ," $226,000 "," $1,517 "," $2,048 "
MINNESOTA,ST. LOUIS COUNTY,ST. LOUIS COUNTY * (270416), 105 ," $20,996,000 "," $116,891 "," $152,042 "
MINNESOTA,ST. LOUIS COUNTY,"VIRGINIA, CITY OF (270426)", 1 ," $350,000 ", $735 , $884 
MINNESOTA,SWIFT COUNTY,"BENSON, CITY OF (270467)", 7 ," $2,447,000 "," $11,819 "," $14,737 "
MINNESOTA,SWIFT COUNTY,SWIFT COUNTY * (270636), 2 ," $1,350,000 "," $2,890 "," $3,668 "
MINNESOTA,TODD COUNTY,"BROWERVILLE, CITY OF (270475)", 2 ," $177,000 "," $1,788 "," $2,368 "
MINNESOTA,TODD COUNTY,"CLARISSA, CITY OF (270476)", 3 ," $537,000 "," $3,380 "," $4,263 "
MINNESOTA,TODD COUNTY,"EAGLE BEND, CITY OF (270477)", 6 ," $683,000 "," $4,170 "," $5,244 "
MINNESOTA,TODD COUNTY,"HEWITT, CITY OF (270478)", 1 ," $70,000 ", $684 , $824 
MINNESOTA,TODD COUNTY,"LONG PRAIRIE, CITY OF (270479)", 1 ," $14,000 ", $340 , $418 
MINNESOTA,TODD COUNTY,"MOTLEY, CITY OF (270300)", 1 ," $36,000 ", $683 , $822 
MINNESOTA,TODD COUNTY,"OSAKIS, CITY OF  (270365)", 3 ," $249,000 "," $2,304 "," $3,219 "
MINNESOTA,TODD COUNTY,TODD COUNTY * (270551), 21 ," $4,567,000 "," $19,256 "," $24,194 "
MINNESOTA,TRAVERSE COUNTY,"BROWNS VALLEY, CITY OF (270480)", 12 ," $827,000 "," $8,797 "," $11,029 "
MINNESOTA,TRAVERSE COUNTY,"DUMONT, CITY OF (270481)", 3 ," $237,000 "," $1,518 "," $1,841 "
MINNESOTA,TRAVERSE COUNTY,"TINTAH, CITY OF (270482)", 3 ," $342,000 "," $2,625 "," $3,147 "
MINNESOTA,TRAVERSE COUNTY,TRAVERSE COUNTY* (270621), 6 ," $1,261,000 "," $4,043 "," $5,094 "
MINNESOTA,TRAVERSE COUNTY,Unknown (Unknown), 1 ," $250,000 ", $819 ," $1,208 "
MINNESOTA,Unknown,"DAYTON, CITY OF (270157)", 1 ," $350,000 ", $737 , $886 
MINNESOTA,Unknown,Unknown (Unknown), 2 ," $304,000 "," $1,052 "," $1,274 "
MINNESOTA,WABASHA COUNTY,"ELGIN, CITY OF (270484)", 1 ," $250,000 ", $753 , $905 
MINNESOTA,WABASHA COUNTY,"HAMMOND, CITY OF (270485)", 8 ," $1,023,000 "," $5,461 "," $7,027 "
MINNESOTA,WABASHA COUNTY,"LAKE CITY, CITY OF (270486)", 7 ," $2,497,000 "," $5,395 "," $7,157 "
MINNESOTA,WABASHA COUNTY,"MAZEPPA, CITY OF (270487)", 1 ," $525,000 ", $838 ," $1,230 "
MINNESOTA,WABASHA COUNTY,"PLAINVIEW, CITY OF (270753)", 2 ," $686,000 "," $1,249 "," $1,732 "
MINNESOTA,WABASHA COUNTY,"WABASHA, CITY OF (270490)", 25 ," $5,888,000 "," $22,196 "," $29,081 "
MINNESOTA,WABASHA COUNTY,WABASHA COUNTY * (270483), 30 ," $7,335,000 "," $27,719 "," $34,780 "
MINNESOTA,WABASHA COUNTY,"ZUMBRO FALLS, CITY OF (270491)", 5 ," $1,319,000 "," $18,686 "," $22,806 "
MINNESOTA,WADENA COUNTY,"WADENA, CITY OF (270495)", 2 ," $578,000 "," $1,744 "," $2,316 "
MINNESOTA,WADENA COUNTY,WADENA COUNTY* (270637), 13 ," $2,186,000 "," $19,663 "," $23,643 "
MINNESOTA,WASECA COUNTY,"JANESVILLE, CITY OF (270496)", 1 ," $350,000 ", $416 , $507 
MINNESOTA,WASECA COUNTY,"NEW RICHLAND, CITY OF (270497)", 2 ," $1,611,000 "," $7,368 "," $9,177 "
MINNESOTA,WASECA COUNTY,"WASECA, CITY OF (270937)", 2 ," $230,000 ", $901 ," $1,096 "
MINNESOTA,WASECA COUNTY,WASECA COUNTY * (270647), 15 ," $4,045,000 "," $8,999 "," $11,540 "
MINNESOTA,WASHINGTON COUNTY,"AFTON, CITY OF (275226)", 15 ," $5,790,000 "," $23,362 "," $29,615 "
MINNESOTA,WASHINGTON COUNTY,"BAYPORT, CITY OF (275229)", 91 ," $23,315,000 "," $65,295 "," $82,452 "
MINNESOTA,WASHINGTON COUNTY,"COTTAGE GROVE, CITY OF (270502)", 8 ," $2,750,000 "," $5,759 "," $6,927 "
MINNESOTA,WASHINGTON COUNTY,"DELLWOOD, CITY OF (270694)", 2 ," $700,000 "," $1,719 "," $2,061 "
MINNESOTA,WASHINGTON COUNTY,"FOREST LAKE, CITY OF (270693)", 17 ," $4,921,000 "," $16,836 "," $20,820 "
MINNESOTA,WASHINGTON COUNTY,"GRANT, CITY OF (270780)", 5 ," $1,181,000 "," $2,661 "," $3,223 "
MINNESOTA,WASHINGTON COUNTY,"HUGO, CITY OF (270504)", 11 ," $2,189,000 "," $6,193 "," $7,490 "
MINNESOTA,WASHINGTON COUNTY,"LAKE ELMO, CITY OF (270505)", 11 ," $3,285,000 "," $8,872 "," $10,877 "
MINNESOTA,WASHINGTON COUNTY,"LAKELAND, CITY OF (275238)", 8 ," $1,920,000 "," $9,814 "," $13,063 "
MINNESOTA,WASHINGTON COUNTY,"LAKELAND SHORES, CITY OF (275239)", 1 ," $350,000 ", $781 , $938 
MINNESOTA,WASHINGTON COUNTY,"LAKE ST. CROIX BEACH, CITY OF (275240)", 27 ," $6,869,000 "," $20,179 "," $24,485 "
MINNESOTA,WASHINGTON COUNTY,"MAHTOMEDI, CITY OF (270698)", 1 ," $350,000 ", $479 , $582 
MINNESOTA,WASHINGTON COUNTY,"MARINE-ON-ST. CROIX, CITY OF (270509)", 1 ," $250,000 "," $2,743 "," $3,478 "
MINNESOTA,WASHINGTON COUNTY,"NEWPORT, CITY OF (270510)", 10 ," $4,770,000 "," $12,256 "," $15,526 "
MINNESOTA,WASHINGTON COUNTY,"OAKDALE, CITY OF (270511)", 17 ," $4,935,000 "," $8,492 "," $10,752 "
MINNESOTA,WASHINGTON COUNTY,"OAK PARK HEIGHTS, CITY OF (270512)", 2 ," $380,000 ", $720 , $883 
MINNESOTA,WASHINGTON COUNTY,"SCANDIA, CITY OF (270582)", 7 ," $2,380,000 "," $9,293 "," $11,757 "
MINNESOTA,WASHINGTON COUNTY,"STILLWATER, CITY OF (275249)", 28 ," $10,307,000 "," $96,426 "," $118,747 "
MINNESOTA,WASHINGTON COUNTY,"ST. MARYS POINT, CITY OF (275247)", 22 ," $5,972,000 "," $16,986 "," $21,983 "
MINNESOTA,WASHINGTON COUNTY,"ST. PAUL PARK, CITY OF (270514)", 1 ," $577,000 "," $2,618 "," $3,331 "
MINNESOTA,WASHINGTON COUNTY,WASHINGTON COUNTY * (270499), 18 ," $5,251,000 "," $14,998 "," $18,670 "
MINNESOTA,WASHINGTON COUNTY,"WOODBURY, CITY OF (270699)", 42 ," $13,409,000 "," $23,624 "," $29,021 "
MINNESOTA,WATONWAN COUNTY,"MADELIA, CITY OF (270517)", 4 ," $2,375,000 "," $14,090 "," $17,368 "
MINNESOTA,WATONWAN COUNTY,WATONWAN COUNTY * (270649), 3 ," $844,000 "," $3,167 "," $4,237 "
MINNESOTA,WILKIN COUNTY,"BRECKENRIDGE, CITY OF (275232)", 49 ," $9,963,000 "," $31,396 "," $42,585 "
MINNESOTA,WILKIN COUNTY,WILKIN COUNTY * (270519), 19 ," $4,144,000 "," $14,775 "," $18,425 "
MINNESOTA,WINONA COUNTY,"ELBA, CITY OF (270527)", 8 ," $1,372,000 "," $10,784 "," $12,858 "
MINNESOTA,WINONA COUNTY,"GOODVIEW, CITY OF (270528)", 18 ," $4,411,000 "," $29,230 "," $37,264 "
MINNESOTA,WINONA COUNTY,"MINNESOTA CITY, CITY OF (270529)", 1 ," $350,000 ", $856 ," $1,027 "
MINNESOTA,WINONA COUNTY,"ST. CHARLES, CITY OF (270531)", 9 ," $3,284,000 "," $17,760 "," $22,232 "
MINNESOTA,WINONA COUNTY,"STOCKTON, CITY OF (270532)", 20 ," $3,886,000 "," $25,905 "," $30,900 "
MINNESOTA,WINONA COUNTY,"WINONA, CITY OF (275250)", 75 ," $25,508,000 "," $124,801 "," $153,007 "
MINNESOTA,WINONA COUNTY,WINONA COUNTY * (270525), 53 ," $10,592,000 "," $55,512 "," $69,756 "
MINNESOTA,WRIGHT COUNTY,"BUFFALO, CITY OF (270535)", 13 ," $3,524,000 "," $10,507 "," $13,063 "
MINNESOTA,WRIGHT COUNTY,"CLEARWATER, CITY OF (270536)", 6 ," $898,000 "," $6,016 "," $7,198 "
MINNESOTA,WRIGHT COUNTY,"CORINNA, TOWNSHIP OF (270860)", 3 ," $591,000 "," $3,683 "," $4,845 "
MINNESOTA,WRIGHT COUNTY,"DELANO, CITY OF (270539)", 24 ," $5,687,000 "," $36,412 "," $44,713 "
MINNESOTA,WRIGHT COUNTY,"HANOVER, CITY OF (270540)", 2 ," $527,000 "," $8,341 "," $10,100 "
MINNESOTA,WRIGHT COUNTY,"MONTICELLO, CITY OF (270541)", 7 ," $1,536,000 "," $4,321 "," $5,439 "
MINNESOTA,WRIGHT COUNTY,"OTSEGO, CITY OF (270747)", 20 ," $4,982,000 "," $19,883 "," $23,792 "
MINNESOTA,WRIGHT COUNTY,"ROCKFORD, CITY OF (270182)", 5 ," $1,297,000 "," $6,304 "," $8,196 "
MINNESOTA,WRIGHT COUNTY,"ST. MICHAEL, CITY OF (270543)", 2 ," $700,000 "," $1,059 "," $1,282 "
MINNESOTA,WRIGHT COUNTY,"WAVERLY, CITY OF (270666)", 2 ," $300,000 ", $861 ," $1,274 "
MINNESOTA,WRIGHT COUNTY,WRIGHT COUNTY * (270534), 51 ," $12,459,000 "," $47,386 "," $59,012 "
MINNESOTA,YELLOW MEDICINE COUNTY,"CANBY, CITY OF (270545)", 2 ," $600,000 "," $1,426 "," $1,941 "
MINNESOTA,YELLOW MEDICINE COUNTY,"GRANITE FALLS, CITY OF (270068)", 6 ," $1,527,000 "," $7,338 "," $9,209 "
MINNESOTA,YELLOW MEDICINE COUNTY,UPPER SIOUX COMMUNITY (270779), 1 ," $350,000 ", $693 ," $1,059 "
MINNESOTA,YELLOW MEDICINE COUNTY,YELLOW MEDICINE COUNTY * (270544), 11 ," $1,878,000 "," $8,312 "," $11,341 "
MISSISSIPPI,ADAMS COUNTY,ADAMS COUNTY * (280209), 27 ," $4,641,000 "," $17,563 "," $25,448 "
MISSISSIPPI,ADAMS COUNTY,"NATCHEZ, CITY OF (280001)", 25 ," $9,694,000 "," $34,864 "," $44,255 "
MISSISSIPPI,ALCORN COUNTY,ALCORN COUNTY * (280267), 6 ," $1,332,000 "," $5,895 "," $7,505 "
MISSISSIPPI,ALCORN COUNTY,"CORINTH, CITY OF (280002)", 86 ," $31,634,000 "," $109,875 "," $147,503 "
MISSISSIPPI,ALCORN COUNTY,"RIENZI, TOWN OF (280322)", 1 ," $16,000 ", $381 , $691 
MISSISSIPPI,AMITE COUNTY,AMITE COUNTY* (280268), 6 ," $1,513,000 "," $3,504 "," $4,685 "
MISSISSIPPI,ATTALA COUNTY,ATTALA COUNTY * (280301), 3 ," $810,000 "," $3,349 "," $4,226 "
MISSISSIPPI,ATTALA COUNTY,"KOSCIUSKO, CITY OF (280007)", 22 ," $6,457,000 "," $22,921 "," $30,112 "
MISSISSIPPI,BENTON COUNTY,BENTON COUNTY* (280064), 4 ," $935,000 "," $3,232 "," $4,105 "
MISSISSIPPI,BENTON COUNTY,"HICKORY FLAT, TOWN OF (280010)", 1 ," $175,000 ", $606 , $957 
MISSISSIPPI,BOLIVAR COUNTY,"ALLIGATOR, TOWN OF (280012)", 1 ," $250,000 ", $275 , $566 
MISSISSIPPI,BOLIVAR COUNTY,"BENOIT, TOWN OF (280013)", 2 ," $560,000 "," $1,412 "," $1,699 "
MISSISSIPPI,BOLIVAR COUNTY,"BEULAH, TOWN OF (280014)", 1 ," $350,000 ", $358 , $664 
MISSISSIPPI,BOLIVAR COUNTY,BOLIVAR COUNTY * (280011), 301 ," $71,362,000 "," $227,179 "," $308,602 "
MISSISSIPPI,BOLIVAR COUNTY,"CLEVELAND, CITY OF (280016)", 92 ," $25,383,000 "," $83,926 "," $105,051 "
MISSISSIPPI,BOLIVAR COUNTY,"GUNNISON, TOWN OF (280018)", 3 ," $908,000 "," $2,153 "," $3,041 "
MISSISSIPPI,BOLIVAR COUNTY,"MERIGOLD, TOWN OF (280019)", 4 ," $1,050,000 "," $3,422 "," $4,330 "
MISSISSIPPI,BOLIVAR COUNTY,"MOUND BAYOU, CITY OF (280020)", 19 ," $4,537,000 "," $20,278 "," $25,593 "
MISSISSIPPI,BOLIVAR COUNTY,"PACE, TOWN OF (280021)", 1 ," $350,000 ", $750 , $902 
MISSISSIPPI,BOLIVAR COUNTY,"RENOVA, TOWN OF (280065)", 6 ," $1,360,000 "," $3,440 "," $4,384 "
MISSISSIPPI,BOLIVAR COUNTY,"ROSEDALE,CITY OF (280022)", 26 ," $9,574,000 "," $20,466 "," $27,728 "
MISSISSIPPI,BOLIVAR COUNTY,"SHAW, CITY OF (280023)", 1 ," $611,000 "," $1,284 "," $1,757 "
MISSISSIPPI,BOLIVAR COUNTY,"SHELBY, CITY OF (280024)", 35 ," $4,414,000 "," $24,082 "," $34,395 "
MISSISSIPPI,BOLIVAR COUNTY,"WINSTONVILLE, TOWN OF (280025)", 6 ," $675,000 "," $3,398 "," $4,335 "
MISSISSIPPI,CALHOUN COUNTY,"BRUCE, CITY OF (280026)", 13 ," $3,050,000 "," $13,928 "," $18,450 "
MISSISSIPPI,CALHOUN COUNTY,"CALHOUN CITY,CITY OF (280027)", 10 ," $821,000 "," $8,199 "," $10,740 "
MISSISSIPPI,CALHOUN COUNTY,CALHOUN COUNTY * (280288), 25 ," $3,572,000 "," $16,984 "," $21,805 "
MISSISSIPPI,CALHOUN COUNTY,"DERMA, TOWN OF (280217)", 2 ," $305,000 "," $1,724 "," $2,292 "
MISSISSIPPI,CALHOUN COUNTY,"VARDAMAN, TOWN OF (280327)", 4 ," $1,525,000 "," $5,064 "," $6,716 "
MISSISSIPPI,CARROLL COUNTY,CARROLL COUNTY * (280191), 13 ," $2,922,000 "," $7,598 "," $10,305 "
MISSISSIPPI,CARROLL COUNTY,"NORTH CARROLLTON, TOWN OF (280028)", 2 ," $185,000 ", $983 ," $1,643 "
MISSISSIPPI,CARROLL COUNTY,"VAIDEN, TOWN OF (280029)", 3 ," $391,000 "," $1,922 "," $2,768 "
MISSISSIPPI,CHICKASAW COUNTY,CHICKASAW COUNTY* (280269), 4 ," $646,000 "," $1,989 "," $2,413 "
MISSISSIPPI,CHICKASAW COUNTY,"HOUSTON, CITY OF (280030)", 13 ," $1,503,000 "," $9,270 "," $13,629 "
MISSISSIPPI,CHICKASAW COUNTY,"OKOLONA, CITY OF (280031)", 3 ," $413,000 "," $1,809 "," $2,635 "
MISSISSIPPI,CHOCTAW COUNTY,"ACKERMAN, TOWN OF (280032)", 14 ," $2,195,000 "," $12,265 "," $16,052 "
MISSISSIPPI,CHOCTAW COUNTY,CHOCTAW COUNTY* (280069), 1 ," $350,000 ", $435 , $530 
MISSISSIPPI,CLAIBORNE COUNTY,CLAIBORNE COUNTY * (280201), 17 ," $3,042,000 "," $7,568 "," $12,362 "
MISSISSIPPI,CLAIBORNE COUNTY,"PORT GIBSON, TOWN OF (280033)", 15 ," $2,608,000 "," $11,235 "," $15,083 "
MISSISSIPPI,CLARKE COUNTY,CLARKE COUNTY * (280220), 46 ," $8,017,000 "," $34,757 "," $44,247 "
MISSISSIPPI,CLARKE COUNTY,"ENTERPRISE, TOWN OF (280314)", 4 ," $521,000 "," $3,736 "," $4,475 "
MISSISSIPPI,CLARKE COUNTY,"QUITMAN, CITY OF (280319)", 9 ," $2,839,000 "," $5,833 "," $7,032 "
MISSISSIPPI,CLARKE COUNTY,"SHUBUTA, TOWN OF (280034)", 18 ," $2,213,000 "," $11,561 "," $14,614 "
MISSISSIPPI,CLARKE COUNTY,"STONEWALL, TOWN OF (280035)", 5 ," $504,000 "," $2,874 "," $3,924 "
MISSISSIPPI,CLAY COUNTY,CLAY COUNTY * (280036), 73 ," $17,476,000 "," $65,796 "," $80,877 "
MISSISSIPPI,CLAY COUNTY,"WEST POINT, CITY OF (280037)", 75 ," $15,837,000 "," $70,054 "," $91,331 "
MISSISSIPPI,COAHOMA COUNTY,"CLARKSDALE, CITY OF (280039)", 71 ," $16,084,000 "," $69,527 "," $86,370 "
MISSISSIPPI,COAHOMA COUNTY,COAHOMA COUNTY * (280038), 81 ," $19,864,000 "," $54,105 "," $75,984 "
MISSISSIPPI,COAHOMA COUNTY,"FRIAR'S POINT, TOWN OF (280040)", 2 ," $559,000 "," $1,444 "," $1,737 "
MISSISSIPPI,COAHOMA COUNTY,"JONESTOWN, TOWN OF (280041)", 1 ," $60,000 ", $721 , $867 
MISSISSIPPI,COAHOMA COUNTY,"LYON, TOWN OF (280043)", 1 ," $350,000 ", $750 , $902 
MISSISSIPPI,COPIAH COUNTY,COPIAH COUNTY * (280221), 30 ," $6,351,000 "," $23,403 "," $31,261 "
MISSISSIPPI,COPIAH COUNTY,"CRYSTAL SPRINGS, CITY OF (280044)", 4 ," $759,000 "," $2,251 "," $2,947 "
MISSISSIPPI,COPIAH COUNTY,"HAZLEHURST, CITY OF (280046)", 10 ," $2,589,000 "," $7,791 "," $10,710 "
MISSISSIPPI,COVINGTON COUNTY,"COLLINS, CITY OF (280047)", 19 ," $3,559,000 "," $14,979 "," $21,589 "
MISSISSIPPI,COVINGTON COUNTY,COVINGTON COUNTY * (280291), 45 ," $7,910,000 "," $35,983 "," $46,357 "
MISSISSIPPI,COVINGTON COUNTY,"HATTIESBURG, CITY OF (280053)", 1 ," $350,000 ", $599 , $723 
MISSISSIPPI,COVINGTON COUNTY,"MT. OLIVE, TOWN OF (280048)", 1 ," $168,000 "," $2,660 "," $3,155 "
MISSISSIPPI,DE SOTO COUNTY,DE SOTO COUNTY * (280050), 119 ," $34,457,000 "," $78,734 "," $97,350 "
MISSISSIPPI,DE SOTO COUNTY,"HERNANDO, CITY OF (280292)", 18 ," $6,540,000 "," $8,935 "," $11,518 "
MISSISSIPPI,DE SOTO COUNTY,"HORN LAKE, CITY OF (280051)", 129 ," $38,207,000 "," $130,282 "," $167,571 "
MISSISSIPPI,DE SOTO COUNTY,"OLIVE BRANCH,CITY OF (280286)", 100 ," $35,835,000 "," $93,158 "," $116,303 "
MISSISSIPPI,DE SOTO COUNTY,"SOUTHAVEN, CITY OF (280331)", 219 ," $62,196,000 "," $235,291 "," $295,439 "
MISSISSIPPI,DE SOTO COUNTY,"WALLS, TOWN OF (280232)", 3 ," $1,129,000 "," $1,717 "," $2,300 "
MISSISSIPPI,FORREST COUNTY,FORREST COUNTY * (280052), 97 ," $19,495,000 "," $81,870 "," $105,183 "
MISSISSIPPI,FORREST COUNTY,"HATTIESBURG, CITY OF (280053)", 367 ," $91,927,000 "," $400,099 "," $514,413 "
MISSISSIPPI,FORREST COUNTY,"PETAL, CITY OF (280260)", 170 ," $25,673,000 "," $148,189 "," $191,408 "
MISSISSIPPI,FRANKLIN COUNTY,"BUDE, TOWN OF (280054)", 1 ," $315,000 "," $1,000 "," $1,422 "
MISSISSIPPI,FRANKLIN COUNTY,FRANKLIN COUNTY* (280270), 9 ," $1,394,000 "," $6,574 "," $8,357 "
MISSISSIPPI,GEORGE COUNTY,GEORGE COUNTY * (280223), 88 ," $14,199,000 "," $74,105 "," $93,174 "
MISSISSIPPI,GEORGE COUNTY,"LUCEDALE, CITY OF (280056)", 4 ," $586,000 "," $4,276 "," $5,787 "
MISSISSIPPI,GREENE COUNTY,GREENE COUNTY * (280271), 42 ," $6,137,000 "," $30,213 "," $38,819 "
MISSISSIPPI,GREENE COUNTY,"MCLAIN, TOWN OF (280058)", 4 ," $149,000 "," $2,007 "," $2,885 "
MISSISSIPPI,GRENADA COUNTY,"GRENADA, CITY OF (280061)", 168 ," $29,800,000 "," $137,598 "," $176,624 "
MISSISSIPPI,GRENADA COUNTY,GRENADA COUNTY* (280060), 37 ," $5,882,000 "," $28,659 "," $35,781 "
MISSISSIPPI,HANCOCK COUNTY,"BAY ST. LOUIS, CITY OF (285251)"," 2,686 "," $826,933,000 "," $2,726,810 "," $3,511,570 "
MISSISSIPPI,HANCOCK COUNTY,"DIAMONDHEAD, CITY OF (280244)", 473 ," $148,659,000 "," $384,151 "," $473,272 "
MISSISSIPPI,HANCOCK COUNTY,HANCOCK COUNTY* (285254)," 3,025 "," $822,097,000 "," $3,299,203 "," $4,186,388 "
MISSISSIPPI,HANCOCK COUNTY,"WAVELAND, CITY OF (285262)"," 1,747 "," $512,081,000 "," $1,919,018 "," $2,447,251 "
MISSISSIPPI,HARRISON COUNTY,"BILOXI, CITY OF (285252)"," 4,266 "," $1,253,924,000 "," $4,448,923 "," $5,577,611 "
MISSISSIPPI,HARRISON COUNTY,"D'IBERVILLE, CITY OF (280336)", 724 ," $224,955,000 "," $941,976 "," $1,180,223 "
MISSISSIPPI,HARRISON COUNTY,"GULFPORT, CITY OF (285253)"," 4,235 "," $1,277,427,000 "," $4,583,782 "," $5,734,005 "
MISSISSIPPI,HARRISON COUNTY,HARRISON COUNTY * (285255)," 1,664 "," $491,048,000 "," $1,354,921 "," $1,713,934 "
MISSISSIPPI,HARRISON COUNTY,"LONG BEACH, CITY OF (285257)"," 1,565 "," $480,096,000 "," $1,445,087 "," $1,818,277 "
MISSISSIPPI,HARRISON COUNTY,"PASS CHRISTIAN, CITY OF (285261)"," 2,206 "," $642,341,000 "," $2,441,663 "," $3,139,539 "
MISSISSIPPI,HINDS COUNTY,"BOLTON, TOWN OF (280216)", 2 ," $89,000 "," $1,074 "," $1,300 "
MISSISSIPPI,HINDS COUNTY,"BYRAM, CITY OF (280850)", 103 ," $22,123,000 "," $88,101 "," $108,140 "
MISSISSIPPI,HINDS COUNTY,"CLINTON, CITY OF (280071)", 144 ," $35,745,000 "," $107,625 "," $134,554 "
MISSISSIPPI,HINDS COUNTY,HINDS COUNTY* (280070), 123 ," $29,994,000 "," $97,471 "," $121,775 "
MISSISSIPPI,HINDS COUNTY,"JACKSON, CITY OF (280072)"," 2,460 "," $566,578,000 "," $3,557,897 "," $4,409,109 "
MISSISSIPPI,HINDS COUNTY,"RAYMOND, TOWN OF (280320)", 7 ," $2,394,000 "," $8,521 "," $10,621 "
MISSISSIPPI,HINDS COUNTY,"TERRY, TOWN OF (280073)", 25 ," $4,842,000 "," $19,848 "," $24,060 "
MISSISSIPPI,HOLMES COUNTY,"DURANT, CITY OF (280074)", 1 ," $463,000 "," $1,061 "," $1,494 "
MISSISSIPPI,HOLMES COUNTY,"GOODMAN, TOWN OF (280075)", 1 ," $160,000 ", $720 , $866 
MISSISSIPPI,HOLMES COUNTY,HOLMES COUNTY * (280211), 38 ," $12,674,000 "," $35,587 "," $48,021 "
MISSISSIPPI,HOLMES COUNTY,"LEXINGTON, CITY OF (280076)", 11 ," $2,324,000 "," $22,993 "," $28,437 "
MISSISSIPPI,HOLMES COUNTY,"TCHULA, TOWN OF (280078)", 1 ," $175,000 ", $408 , $498 
MISSISSIPPI,HUMPHREYS COUNTY,"BELZONI, CITY OF (280080)", 20 ," $4,322,000 "," $18,137 "," $22,860 "
MISSISSIPPI,HUMPHREYS COUNTY,HUMPHREYS COUNTY * (280192), 114 ," $23,860,000 "," $84,902 "," $111,751 "
MISSISSIPPI,HUMPHREYS COUNTY,"ISOLA, TOWN OF (280190)", 3 ," $850,000 "," $3,993 "," $5,212 "
MISSISSIPPI,HUMPHREYS COUNTY,"LOUISE, TOWN OF (280208)", 3 ," $712,000 "," $5,607 "," $5,994 "
MISSISSIPPI,ISSAQUENA COUNTY,ISSAQUENA COUNTY * (280200), 126 ," $31,807,000 "," $70,523 "," $103,749 "
MISSISSIPPI,ISSAQUENA COUNTY,"MAYERSVILLE, TOWN OF (280329)", 3 ," $673,000 "," $1,865 "," $2,251 "
